cruise	Year	Month	Instrument	tcut1	tcut1_gt_lt	tcut2	tcut2_gt_lt	lim1_1	lim1_2	lim2_1	lim2_2	fact.sd2	lim3_1	lim3_2	fact.sd3	lim4_1	lim4_2	lim5_1	lim5_2	fact.sd5	lim6_1	lim6_2	fact.sd6	lim7_1	lim7_2	fact.sd7	fact.sd8	spar.8	Comment
HOT332	2021	July	740v2	NA	NA	NA	NA	11.95	12.05	6000	18000	3	700000	1500000	3	300	3500	0.003	0.05	5	0.35	0.9	6	0.6	1.4	6	5	NULL	
HOT335	2022	March	740v2	NA	NA	NA	NA	11.95	12.05	6000	18000	3	1000000	2000000	3	500	3500	0.001	0.01	5	0.35	0.9	6	0.6	1.4	6	7	NULL	
HOT336	2022	May	740v2	NA	NA	NA	NA	11.95	12.05	6000	18000	3	1000000	2000000	3	500	3500	0.001	0.01	5	0.35	0.9	6	0.6	1.4	6	7	NULL	
HOT337	2022	July	740v2	NA	NA	NA	NA	11.95	12.05	6000	18000	3	1000000	2000000	3	800	3500	0.003	0.01	5	0.35	0.9	6	0.7	1.4	6	5	NULL	
HOT338	2022	August	740v2	NA	NA	NA	NA	11.95	12.05	6000	18000	3	1000000	2000000	3	500	3500	0.002	0.01	5	0.35	0.9	6	0.7	1.4	6	5	NULL	
KiloMoana_1	2013	August	740	NA	NA	NA	NA	11.95	12.05	2000	18000	3	0	3000000	3	150	1000	0.0001	0.1	5	0.35	1	6	0.7	2.3	5	8	0	
KM1712	2017	August	751	NA	NA	NA	NA	11.95	12.05	5000	18000	4	0	5000000	4	1	3500	0.001	0.1	5	0.35	0.7	6	0.6	1.4	5	8	missing	
KM1713	2017	September	751	NA	NA	NA	NA	11.95	12.05	4000	18000	4	0	5000000	4	1	3500	0.001	0.02	5	0.35	0.7	6	0.6	1.2	5	8	missing	
KM1906	2019	April	740	NA	NA	NA	NA	11.95	12.05	5000	18000	4	1000000	5000000	4	1	3500	0.00002	0.03	5	0.45	1	6	0.7	1.4	5	4	missing	
KM1906_towfish	2019	April	751	NA	NA	NA	NA	11.95	12.05	2000	18000	3	0	3500000	3	50	1000	0.0001	0.01	5	0.35	0.9	6	0.7	2.3	5	8	0	
KM1919	2019	September	751	2019-09-22 23:00	leq	NA	NA	11.95	12.05	4000	18000	4	0	5000000	2.5	150	1000	0.005	0.02	2	0.35	0.85	4	0.7	1.4	5	5	0	
KM1920	2019	October	751	NA	NA	NA	NA	11.95	12.05	7000	18000	4	0	5000000	4	150	1000	0.006	0.02	2	0.35	0.9	6	0.7	1.4	5	8	0	
KM1923_740	2019	December	740v2	NA	NA	NA	NA	11.95	12.05	2000	18000	4	0	5000000	4	300	3500	0.002	0.05	5	0.25	0.9	6	0.3	1.4	5	8	missing	
KM1923_751	2019	December	751	NA	NA	NA	NA	11.95	12.05	2000	18000	4	0	5000000	4	200	3500	0.00015	0.05	5	0.35	0.9	6	0.7	1.5	5	8	missing	
KM2206_740	2022	June	740v2	NA	NA	NA	NA	11.95	12.05	5000	18000	2	0	5000000	4	300	3500	0.001	0.008	3	0.35	0.9	6	0.7	1.4	6	20	NULL	
KOK1805	2018	July	751	NA	NA	NA	NA	11.95	12.05	3000	18000	2	0	5000000	5	300	3500	0.0075	0.05	7	0.35	0.9	6	0.7	1.4	6	6	0	
KOK1806	2018	July	751	NA	NA	NA	NA	11.95	12.05	5000	18000	3	0	5000000	4	1	3500	0.0005	0.1	5	0.35	0.7	2	0.7	1.4	5	6	missing	
MBARI_1	2011	October	989	NA	NA	NA	NA	11.95	12.05	10000	30000	4	0	5000000	4	1	3500	0.0002	0.1	5	0.35	1	6	0.7	1.4	5	4	missing	
MBARI_2	2012	September	989	NA	NA	NA	NA	11.95	12.05	2000	18000	4	0	5000000	4	1	3500	0.0005	0.05	5	0.35	1	6	0.7	1.4	5	3	missing	
MBARI_3	2013	October	989	NA	NA	NA	NA	11.95	12.05	3000	18000	4	0	5000000	4	1	3500	0.001	0.1	5	0.35	1	6	0.7	1.4	5	6	missing	
MESO_SCOPE	2017	July	751	NA	NA	NA	NA	11.95	12.05	5000	18000	4	0	5000000	4	1	3500	0.0045	0.02	5	0.3	0.7	6	0.55	1.4	5	4	missing	
